Ego,Affiliation,Gender,Group
"Gregory, Simon G.",Duke University,Male,A
"Barlow, Karen F.",Wellcome Trust Sanger Institute,Female,A
"McLay, Kristen E.",Wellcome Trust Sanger Institute,Female,A
"Kaul, Rajinder K.",University of Washington School of Medicine,Male,A
"Swarbreck, David",Wellcome Trust Sanger Institute,Male,A
"Dunham, Andrew",Wellcome Trust Sanger Institute,Male,A
"Scott, Carol E.",Wellcome Trust Sanger Institute,Male,A
"Howe, Kevin Lee",Wellcome Trust Sanger Institute,Male,A
"Woodfine, Kathryn",King's College London,Female,A
"Spencer, Chris CA",University of Oxford,Male,A
"Jones, Matthew C.",Wellcome Trust Sanger Institute,Female,A
"Gillson, Christopher",Wellcome Trust Sanger Institute,Male,A
"Searle, Stephen M.J.",Wellcome Trust Sanger Institute,Male,A
"Zhou, Yang",University of Washington School of Medicine,Male,A
"Kokocinski, Felix",Wellcome Trust Sanger Institute,Male,A
McDonald L.,Wellcome Trust Sanger Institute,Female,A
"Evans, Richard S.",Wellcome Trust Sanger Institute,Male,A
"Phillips, Kimbly",Wellcome Trust Sanger Institute,Female,A
"Atkinson, Alexandre L.",Wellcome Trust Sanger Institute,Male,A
"Cooper, Rachel A.",Wellcome Trust Sanger Institute,Male,A
"Jones, Carol A.",Wellcome Trust Sanger Institute,Male,A
"Hall, Rebekah E.",Wellcome Trust Sanger Institute,Male,A
"Andrews, T. Daniel",Wellcome Trust Sanger Institute,Male,A
"Lloyd, Christine R.",Wellcome Trust Sanger Institute,Male,A
"Ainscough, Rachael",Wellcome Trust Sanger Institute,Female,B
"Almeida, Jeff P.",Wellcome Trust Sanger Institute,Male,B
"Ambrose, Kerrie D.",Wellcome Trust Sanger Institute,Female,B
"Anderson, F.",Wellcome Trust Sanger Institute,Male,B
"Andrew, R.W.",Wellcome Trust Sanger Institute,Male,B
"Ashwell, Robert I S",Wellcome Trust Sanger Institute,Male,B
"Aubin, K.",Wellcome Trust Sanger Institute,Male,B
"Babbage, Anne K.",Wellcome Trust Sanger Institute,Female,B
"Bagguley, Claire L.",Wellcome Trust Sanger Institute,Female,B
"Bailey, Jonathon",Wellcome Trust Sanger Institute,Male,B
"Beasley, Helen",Wellcome Trust Sanger Institute,Female,B
"Bethel, Graeme",Wellcome Trust Sanger Institute,Male,B
"Bird, Christine P.",Wellcome Trust Sanger Institute,Female,B
"Bray-Allen, Sarah P.",Wellcome Trust Sanger Institute,Male,B
"Brown, Jacqueline Y.",Wellcome Trust Sanger Institute,Female,B
"Brown, Alex J.",Wellcome Trust Sanger Institute,Male,B
"Buckley, Danielle G.",University of Washington School of Medicine,Female,B
"Burton, John L.",Wellcome Trust Sanger Institute,Male,B
"Bye, Jacqueline",Wellcome Trust Sanger Institute,Female,B
"Carder, Carol",Wellcome Trust Sanger Institute,Female,B
"Chapman, Joanne C.",Wellcome Trust Sanger Institute,Female,B
"Clark, Sue Y.",Wellcome Trust Sanger Institute,Female,B
"Clarke, Graham D.Paul",Wellcome Trust Sanger Institute,Male,B
"Clee, Chris M.",Wellcome Trust Sanger Institute,Male,B
"Cobley, Victoria E.",Wellcome Trust Sanger Institute,Male,B
"Collier, R. E.",Wellcome Trust Sanger Institute,Male,B
"Corby, Nicole R.",Wellcome Trust Sanger Institute,Female,B
"Coville, G. J.",Wellcome Trust Sanger Institute,Male,B
"Davies, Joy R.",Wellcome Trust Sanger Institute,Female,B
"Deadman, Rebecca",Wellcome Trust Sanger Institute,Female,B
"Dunn, Matthew",Wellcome Trust Sanger Institute,Male,B
"Earthrowl, Mark E.",Wellcome Trust Sanger Institute,Male,B
"Ellington, A. G.",Wellcome Trust Sanger Institute,Male,B
"Errington, H.",Wellcome Trust Sanger Institute,Female,B
"Frankish, Adam G.",Wellcome Trust Sanger Institute,Male,B
"Frankland, John A.",Wellcome Trust Sanger Institute,Male,B
"French, Lisa",Wellcome Trust Sanger Institute,Female,B
"Garner, Patrick",Wellcome Trust Sanger Institute,Male,B
"Garnett, Jane",Wellcome Trust Sanger Institute,Female,B
"Gay, L.",Wellcome Trust Sanger Institute,Female,B
"Ghori, Jilur",Wellcome Trust Sanger Institute,Male,B
"Gibson, Richard S.",Wellcome Trust Sanger Institute,Male,B
"Gilby, L.M.",Wellcome Trust Sanger Institute,Male,B
"Gillett, Will G.",University of Washington School of Medicine,Male,B
"Glithero, Rebecca J.",Wellcome Trust Sanger Institute,Male,B
"Grafham, Darren V.",Wellcome Trust Sanger Institute,Male,B
"Griffiths, Coline",Wellcome Trust Sanger Institute,Female,B
"Griffiths-Jones, Sam",Wellcome Trust Sanger Institute,Male,B
"Grocock, Russell James",Wellcome Trust Sanger Institute,Male,B
"Hammond, Sian Austin",Wellcome Trust Sanger Institute,Male,B
"Harrison, Elliot S I",Wellcome Trust Sanger Institute,Male,B
"Hart, Elizabeth A.",Wellcome Trust Sanger Institute,Female,B
"Haugen, Eric",University of Washington School of Medicine,Male,B
"Heath, Paul D.",Wellcome Trust Sanger Institute,Male,B
"Holmes, Sharon",Wellcome Trust Sanger Institute,Female,B
"Holt, Karen",Wellcome Trust Sanger Institute,Female,B
"Howden, Philip J.",Wellcome Trust Sanger Institute,Male,B
"Hunt, Adrienne R.",Wellcome Trust Sanger Institute,Female,B
"Hunt, Sarah E.",Wellcome Trust Sanger Institute,Male,B
"Hunter, Giselle",Wellcome Trust Sanger Institute,Female,B
"Isherwood, Judith",Wellcome Trust Sanger Institute,Female,B
"James, Rosalina",University of Washington School of Medicine,Female,B
"Johnson, Christopher M.",Wellcome Trust Sanger Institute,Male,B
"Johnson, David C.",Wellcome Trust Sanger Institute,Male,B
"Joy, Ann A.",Wellcome Trust Sanger Institute,Male,B
"Kay, Mike",Wellcome Trust Sanger Institute,Male,B
"Kershaw, Joanne K.",Wellcome Trust Sanger Institute,Female,B
"Kibukawa, Miho",Wellcome Trust Sanger Institute,Female,B
"Kimberley, Andrew M.",Wellcome Trust Sanger Institute,Male,B
"King, Andrew",Wellcome Trust Sanger Institute,Male,B
"Knights, Andrew J.",Wellcome Trust Sanger Institute,Male,B
"Lad, H.",Wellcome Trust Sanger Institute,Male,B
"Laird, Gavin K.",Wellcome Trust Sanger Institute,Male,B
"Lawlor, Stephanie",Wellcome Trust Sanger Institute,Female,B
"Leongamornlert, Daniel A.",Wellcome Trust Sanger Institute,Male,B
"Lloyd, David M.L.",Wellcome Trust Sanger Institute,Male,B
"Loveland, Jane E.",Wellcome Trust Sanger Institute,Female,B
"Lovell, Jamieson D.",Wellcome Trust Sanger Institute,Male,B
"Lush, Michael J.",University College London,Male,B
"Lyne, Rachel",Wellcome Trust Sanger Institute,Female,B
"Martin, Sancha L.",Wellcome Trust Sanger Institute,Male,B
"Mashreghi-Mohammadi, Maryam",Wellcome Trust Sanger Institute,Female,B
"Matthews, Lucy H.",Wellcome Trust Sanger Institute,Female,B
"Matthews, Nicholas S.W.",Wellcome Trust Sanger Institute,Male,B
"McLaren, S.",Wellcome Trust Sanger Institute,Male,B
"Milne, Sarah A.",Wellcome Trust Sanger Institute,Female,B
"Mistry, Shailesh L.",Wellcome Trust Sanger Institute,Male,B
"Moore, Melissa J.F.",Wellcome Trust Sanger Institute,Female,B
"Nickerson, T.",Wellcome Trust Sanger Institute,Male,B
"O'Dell, Christopher",Wellcome Trust Sanger Institute,Male,B
"Oliver, Karen",Wellcome Trust Sanger Institute,Female,B
"Palmeiri, Anthony",University of Washington School of Medicine,Male,B
"Palmer, Sophie A.",Wellcome Trust Sanger Institute,Male,B
"Parker, Anne",Wellcome Trust Sanger Institute,Female,B
"Patel, Dina",Wellcome Trust Sanger Institute,Female,B
"Pearce, Alex V.",Wellcome Trust Sanger Institute,Male,B
"Peck, A. I.",Wellcome Trust Sanger Institute,Male,B
"Pelan, Sarah E.",Wellcome Trust Sanger Institute,Female,B
"Phelps, Karen A.",University of Washington School of Medicine,Female,B
"Phillimore, Benjamin J.C.T.",Wellcome Trust Sanger Institute,Male,B
"Plumb, Robert W.",Wellcome Trust Sanger Institute,Male,B
"Rajan, Jeena Joseph Sahaya",Wellcome Trust Sanger Institute,Male,B
"Raymond, Christopher K.",University of Washington School of Medicine,Male,B
"Rouse, Greg",University of Washington School of Medicine,Male,B
"Saenphimmachak, Channakhone",University of Washington School of Medicine,Male,B
"Sehra, Harminder K.",Wellcome Trust Sanger Institute,Male,B
"Sheridan, Elizabeth",Wellcome Trust Sanger Institute,Male,B
"Shownkeen, Ratna",Wellcome Trust Sanger Institute,Female,B
"Sims, Sarah K.",Wellcome Trust Sanger Institute,Female,B
"Skuce, Carl D.",Wellcome Trust Sanger Institute,Male,B
"Smith, Michelle L.",Wellcome Trust Sanger Institute,Female,B
"Steward, Charles A.",Wellcome Trust Sanger Institute,Male,B
"Subramanian, Sandhya",University of Washington School of Medicine,Female,B
"Sycamore, Neil",Wellcome Trust Sanger Institute,Male,B
"Tracey, Alan",Wellcome Trust Sanger Institute,Male,B
"Tromans, Anthony C.",Wellcome Trust Sanger Institute,Male,B
"Van Helmond, Z.",Wellcome Trust Sanger Institute,Male,B
"Wall, Melanie",Wellcome Trust Sanger Institute,Female,B
"Wallis, Justine M.",Wellcome Trust Sanger Institute,Female,B
"White, Simon S.",Wellcome Trust Sanger Institute,Male,B
"Whitehead, Siobhan L.",Wellcome Trust Sanger Institute,Female,B
"Wilkinson, Jane",Wellcome Trust Sanger Institute,Female,B
"Willey, David L.",Wellcome Trust Sanger Institute,Male,B
"Williams, Hawys",Wellcome Trust Sanger Institute,Female,B
"Wilming, Laurens G.",Wellcome Trust Sanger Institute,Female,B
"Wray, Paul W.",Wellcome Trust Sanger Institute,Male,B
"Wu, Zaining",Wellcome Trust Sanger Institute,Male,B
"Coulson, Alan R.",Wellcome Trust Sanger Institute,Male,C
"Vaudin, Mark D.",Wellcome Trust Sanger Institute,Male,C
"Sulston, John E.",Wellcome Trust Sanger Institute,Male,C
"Durbin, Richard M.",Wellcome Trust Sanger Institute,Male,C
"Hubbard, Tim J.P.",Wellcome Trust Sanger Institute,Male,C
"Wooster, Richard W.",Wellcome Trust Sanger Institute,Male,C
"Dunham, Ian",Wellcome Trust Sanger Institute,Male,C
"Carter, Nigel P.",Wellcome Trust Sanger Institute,Male,C
"McVean, Gil",Wellcome Trust Sanger Institute,Male,C
"Ross, Mark T.",Wellcome Trust Sanger Institute,Male,C
"Harrow, Jennifer L.",Wellcome Trust Sanger Institute,Female,C
"Olson, Maynard V.",University of Washington School of Medicine,Male,C
"Beck, Stephan R.",Wellcome Trust Sanger Institute,Male,C
"Rogers, Jane",Wellcome Trust Sanger Institute,Female,C
"Bentley, David R.",Chesterford Research Park,Male,C
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,